Ticker,Name,Exchange
A,Agilent,NYSE
AA,Alcoa,NYSE
AAN,Aaron's,NYSE
AAT,American Assets Trust,NYSE
AAV,Advantage Oil & Gas,NYSE
AB,Alliance Capital Management L.P.,NYSE
ABB,Abb,NYSE
ABBV,Abbvie Common Stock,NYSE
ABC,Amerisourcebergen Corporation,NYSE
ABM,Abm Industriesorporated,NYSE
ABR,Arbor Realty Trust,NYSE
ABR-PA,Arbor Realty Trust Preferred Se,NYSE
ABR-PB,Arbor Realty Trust Cumulative R,NYSE
ABT,Abbot Laboratories,NYSE
ABV,Companhia De Bebidas - Ambev,NYSE
ABV.C,Companhia De Bebidas - Ambev,NYSE
ABW-PB,Associated Banc-Corp Depositary,NYSE
ABX,Barrick Gold Corp.,NYSE
ACE,Ace Limited,NYSE
ACG,Alliancebernsteinome Fund,NYSE
ACH,Aluminum Corporation of China.,NYSE
ACI,Arch Coal,NYSE
ACM,Aecom Technology Corp.,NYSE
ACMP,Access Midstream Partners L.P.,NYSE
ACN,Accenture Plc.,NYSE
ACO,Amcol International Corp.,NYSE
ACP,Avenueome Credit Strategies,NYSE
ACRE,Ares Commercial Real Estate Cor,NYSE
ACT,Actavis,NYSE
ACTV,Active Network,NYSE
ACW,Accuride Corporation New,NYSE
ADC,Agree Realty Corp.,NYSE
ADM,Archer-Daniels-Midland Company,NYSE
ADS,Alliance Data Systems Corp.,NYSE
ADT,Adt Corporation Common Stock W,NYSE
ADX,Adams Express Company,NYSE
AEB,Aegon Express Company,NYSE
AEC,Associated Estates Realty Corp.,NYSE
AED,Aegon Nv,NYSE
AEE,Ameren Corp.,NYSE
AEF,Aegon Nv,NYSE
AEG,Aegon Nv,NYSE
AEH,Aegon Nv,NYSE
AEK,Aegon N.V. 8.00%,NYSE
AEL,American Equity Investment Life,NYSE
AEM,Agnico-Eagle Mines Limited,NYSE
AEO,American Eagle Outfitters,NYSE
AEP,American Electric Power Company,NYSE
AER,Aercap Holdings N.V.,NYSE
AES,The Aes Corp.,NYSE
AES-PC,AES Corporation Class C P,NYSE
AET,Aetna,NYSE
AEV,Aegon Nv,NYSE
AF,Astoria Financial Corp.,NYSE
AFA,American Financial Group,NYSE
AFB,Alliance National Municipal,NYSE
AFC,Allied Capital Corp.,NYSE
AFG,American Financial Group  ,NYSE
AFL,Aflacorporated,NYSE
AFM,Affiliated Managers Group,NYSE
AFQ,American Financial Group,NYSE
AFSD,Aflacorporated,NYSE
AFT,Apollo Senior Floating Rate Fund,NYSE
AFW,American Financial Group,NYSE
AG,First Majestic Silver,NYSE
AGC,Advent Claymore Convertible Securities,NYSE
AGCO,Agco Corp.,NYSE
AGD,Alpine Global Dynamic Dividend Fund,NYSE
AGI,Alamos Gold,NYSE
AGM,Federal Agricultural Mortgage Corp.,NYSE
AGM-A,Federal Agricultural Mortgage  ,NYSE
AGM.A,Federal Agricultural Mortgage Corp.,NYSE
AGN,Allergan,NYSE
AGO,Assured Guaranty,NYSE
AGO-PF,Assured Guaranty [B],NYSE
AGO-E,Assured Guaranty [E],NYSE
AGO-F,Assured Guaranty [F],NYSE
AGRO,Adecoagro S.A.,NYSE
AGU,Agrium,NYSE
AH,Accretive Health,NYSE
AHC,A.H. Belo Corp.,NYSE
AHH,Armada Hoffler Properties,NYSE
AHL,Aspen Insurance Holdings,NYSE
AHL-PA,Aspen Insurance Holdings Limite,NYSE
AHL-PC,Aspen Insurance Holdings Limite,NYSE
AHL-C,Aspen ins Pfd,NYSE
AHS,Amn Healthcare Services,NYSE
AHT,Ashford Hospitality Trust,NYSE
AHT-PA,Ashford Hospitality Trust 8,NYSE
AHT-PD,Ashford Hospitality Trust 8,NYSE
AI,Arlington Asset Investment Corp,NYSE
AIB,Apollo Investment Corporation,NYSE
AIF,Apollo Tacticalome Fund,NYSE
AIG,American International Group,NYSE
AIG-WT,American International Group,NYSE
AIN,Albany International Corp.,NYSE
AIR,Aar ,NYSE
AIT,Applied Industrial,NYSE
AIV,Apartment Investment And Management,NYSE
AIV-Z,Aparment Inv. & Mgt. Co.,NYSE
AIW,Arlington Asset Investment Cor ,NYSE
AIY,Apollo Investment Corporation,NYSE
AIZ,Assurant,NYSE
AJG,Arthur J. Gallagher & Co.,NYSE
AKO.A,Embotell Andina Sa A,NYSE
AKO.B,Embotell Andina Sa B,NYSE
AKP,Alliance California Muni,NYSE
AKR,Acadia Realty Trust,NYSE
AKS,Ak Steel Holding Corp.,NYSE
AL,Air Lease Corporation Class A C,NYSE
ALB,Albemarle Corp.,NYSE
ALDW,Alon USA Partners Lp,NYSE
ALE,Allete,NYSE
ALEX,Alexander And Baldwin,NYSE
ALG,Alamo Group,NYSE
